10000 5413553
19636226903349016594575757918631720514851794903058932080123702465940 7430027750684122528970691458301972843172373878000787592968896803867
15031587444233706876617462423081111161335806876570762530357484437309 6853231159546069862718967596356941738569579587814008435576165838556
17917625443427162148909555853788185044799781904172827148722567119782 3939098828616196261815000569289540322338724147748288655472849436359
11251978394854093580549317448365306744861789983557619427453716213112 8212595534570517145792636933175318191003507168192359001870359025090
16495121100087722622093301681587118695166546086300793845796971129281 5049357190766231710240279695798092555433333825798832135992088474761
18461712541345381663598867793639071207926660848252278881478377483380 8654423747925622135776624442843870201439248586954803663382332930297
17834415124344612033087234825372644451061325978208200303211003302228 8358794512283226962093561125318397749014852632877887044194280268060
15028177030064412037263018487996925722773703623295671078530948855996 7912511632361972392937546540774526317847822715988339098133483388711
20368506568926392786153734357383344448091773483208817651995318859337 2365455957046092075569737399587398745336298731502096871244678248214
17106720522630676900872501632889514251053805326509827007760231656919 10719133254244759283137107925879492401759075217393735915029565595462
17536020393644183887075863301523612657281279318155488813178185635274 4776033983393053614142874631725558064305323586816644922078109545064
17907143431066377395347374609092843067101034892927382906616306300040 8632516187781852549757852537341290748862845531041164345373843154998
13260364872734951044482042734887719481468295480969168810999656062731 4573783762276207812959937592996901329228056280295502143512535928313
16304084709037777383326401771104458066908250742086422588009738597900 4130634247706921421113467659496330030879001078507955953670288534140
13302267403293164282318634796776863506069682426627144468250016129215 2988807881461182729038087569702314670231935769128477608724021924586
20319293243958718608630605036761827007071705480580675226740729178898 302663642176700174438743704360663869723001997260775503005055663124
19710947338379005890086664450139374631950939495321703071179335607156 4132913890135045160882852506252051810445737056929111315567585555189
16237830222852850601079839786395064555367800737719262146019786613855 3127407423687916989197751270498743291390869546872066111077165916782
18534348526101381235184373928664396109850384688108763301549791030534 9345839884327935648419132209387211600531315173549517759503065004381
13164035048170864244205176790738654864091485385023461265206231026532 1316924869072177322843651272824652792270122333145541298565857457554
14530860220166095578556457860680670196497103931594972874285032228125 6263175072091136764891073613799750357940648334225454190400142353039
19811366676424995085082585556918720438917988688173086827991684959348 4209614667793389736750498350103863963343998054747152263699878884637
11905499931277374555102616160746080497504200562639763519112470505538 10139584930991695256114692742884505092283017919693808160244755060441
17506882195714955735693008284902176927540596333766951760629669548120 9030688517833445963669659164948439482076948162093218475002099468641
16250261000760253176968429987354159629410625914329888086256362240757 3614828777856495008765956183262868475795163986023532628508088880537
21350179111672127454628281852828622116972437344271776157645134133739 4428935636415154003668193457201725806189995704998062571081282674693
12314848755140088993852571063154199043137684016928806033155657680114 247726567166907197080976578645463777214612044218553954830860061885
19146758011520196509655518009171235464165179406175216394600531854300 2966293813860846864346674583309468935446660314409951924172481680553
14745474062818990526814081412869178128193236538572459738979435790323 5071423680247219958808662670507232301080837761752655534459162752994
19264622366141629826904210909150109269076533362200536835334375682016 10517399991717672680846999386851773073119683393821364090492102227360
17351518920085432587009128450281465762234857277509990882632041367902 3223787759543370425858323015566580159645971750028316555353561050891
12315153666666833012906107699556772625000320364059470736393794941762 4326198070449456754185007729474332867345485177774173137817324617372
16719089455226848350682708159011022039003299400008943140599023229307 8776574283514522096166296877814216663385200111725250021577947981650
11788980092888156711288721697384010968706269134348498001716118261014 10775041411668821880829371833811665438992959034643808786597307226691
15080977007146014217996669477739798928234272396566878916165441618454 9082004559644307742646125565960659298818617683503262397674419845515
