8000 8035997
72373779159943179883609121144307974591914659176264324366996311722714973236190077043 3835434282294040621894636851205983681745810674921583991943287059956321057173751063
54196113449728670080878452373291969815617703720379865606719241448338493751103483138 20945409236643001095710584992724725087832971990785362650525990245609592240696116526
60574306178614488958184974180950997356444951724844077982420956212479868757156165854 27280013083954314492624780681360327457093268557315079136238784734257736863840030229
36622368291331764660372074415848017375758296147288948431607818206965723381340607357 28440791443634085356583925925275458729250565173339677551571102251922705239722363701
48871536103431331898151164572810565435082805436728530220855469956596337408881384767 33366866966339597162475328795942466997174208673740613506658140791936135877727883226
68882616753308402588447215026587336053961961460416338730332789840157602813573791388 8393651371604414176251205642268198881639137651538563053626619111378095566809698509
42762009527011198238510956842571444979725760451388201399074605592545266971187176124 13535529869973409743985569003091306208720781391727523764122055887096365264230944148
55648393192148460250418760513064658354582711916629887306143505700609614992075533234 15771673782929155787717459316032012647312078170210155849030022165806908363701577141
66392267164894175596427211061782302092144054774875653909860559506193708163203331063 28357384432735892818078542683269575690492511918562962728247785445557246440395925378
43829347313533841014254656922965949166432810998383823045958973470840383256540900448 1804799433111133590594826626394297036994441363119628039637630436174035384596122558
56085497857147396543360812706929965333217228152457565889873799548836567903689043569 13200122564646451840343670483669282438128876713484935216863130458246974667046238968
39662444862904162598125054817371665788122200866738862746236703130171340675480275014 12647721028318792228895711881793886738634700363112754688352035291038437912541200507
41100400018307779758447744110488468855164337947814609492453050954926167096811256350 27300816975556963289045012691484419107968285877041768781778007658866932925302295345
59849965984640420144482644344777497478105832472458050245718036682951603189376100538 32843609651164279577530218614841277005994123213651968722400282845886583687385175145
50380140897097078583489387893295947514304437795483048151875217339996451986933641626 23914801726734408961222931654697694914675083062254116036223352166647631509307951968
65902491105829654209612718623407093975251535680154098211790702296567853894882578618 31141038296305014334667694784988320100398349163490932039377017593552199929828696492
50140006471963561487753779234304821618331982491988389372764530630164157791515338910 28726443259333025519689448249435200491556669407965148768857957905887077243546062413
63973344252377309344733295963843919647372019403069149274996666406662942564560318433 27235384880916923564846003625206695168692060422790819371802675236941994463126940791
