10000 4945541
1186312732083160424891683118390476361527915643211424321983940 353139232438543821063169522371049369791266177883303607456292
1056614416453199394019125800835610012475537021213600832438085 76999962289951315877449879694409710409409855094192901974777
1570650906169178851234990117939390950082755100322356864291982 231477560660038084409680301216756740903799009959001298650600
963816727379571551194003144253621085181449035952866194363325 296277319335714142471977983556453971312499634660357249114732
887673205689240260075356966499565468886401002731771404638852 848429362132928613101491288196297351649178453779822532109095
1615395295788240552207964240343983997093211110635257763198832 152869445442903006347110615407698885077689300851134113938554
1759131053811563066676844218901611785569043084815317487249047 447472675412215918325651530750686969256368874188789972596372
1059345441452931282547555554464059927298041005335876756304439 381049582836644306608010969040456285136632603313387768113896
1578622482794029001549399545484673968525971358616804100901734 59568090627092935523935927919658852576337686854763516420582
1410515202015507128123459564975974426306321367287217989033129 177178386897138841157060449649861154725153348618786995741411
1235400068886434916253206434751261898728166219257464658995238 838622924559725321664484304518395627907132018274098810174009
963812954101636463822508884545131460663020009632032387824559 719947332278576626528325576595891157375072292539028433808857
1179933155065999892128721073134770843196586767466968374129691 591133177136299566166534158907021005540674365789670999505831
1140400670359887752595400682011755272723358159106867167524445 844300053283012441923221507509490021061800656865303533507909
1212088961535623169661451664151203028645040926024617857851343 593370484868183117488376459377629773448527292744565679142411
1196036743774007425886809124308449058280023419263810664913431 392627386513148022508293218823643360453848117467315043782831
1009204907540940766656190223709740761010182432988824731945858 283798499872151191678504763385951735588008866629710382075779
1716739247018909843333893461683185234695339992402728197786497 335811040432947363889877598744757728402961494709995001478823
1230613669670604312377626240290723619803761239161217019692790 90647329602910234720656991137589801487310092465288533456505
1551307609429116318957558858244674341374624213317427746441579 289514621709800519150715624305559502581833419706285268015661
1661748555382299275813815025752341305131287529619287319154887 375099149751087074814754599091891894233687947194836454672056
1311978793503017619653904052846071517699151946184631944124920 216775314265379543280941031288560672376930056590904774594466
1480588077134547641497627222310910632367391163422795895511045 801973685139984331240432621586272413460162609794928908278681
1149713929926692445227516971253417787304545104321835947485207 134907541265513144132678238829099982180684098583843050856864
1621877507420024902864076817548224744591084999219073544797034 583241973028906294226721595226938471005848251179702831489679
1574179342174072586467430609699711101822742998212729319351115 108747261779758706171653069239441549446624346338889194981707
