5000 6189713
266159530152039511193161060734486544845235921128031350649147517773759081090 218083029165362109420728099385630305433388802311957758990031219224490907255
486074863067641175585950174012864322109206316050443258696315455529236904511 38186947141013367701101952190494849310785158176103415526413697516313154506
349520930143528938957664807187799373069947792472623202625571284814561109171 181946788815844523800655715209388086688932372374808136407033831566760305908
504028075914044453436580342170435683266059648739636371486414534983462580023 93765418682241942865508705864432746321224295381561601932962535942541345715
433357787107814628160899281716638803951263136245167416456150232766931415762 14698139832258823729677837097567737300447947889349215248470183051909374889
446655908398973004177101754779835136174838691504668225178451208408606200632 252949535763069059988741565307389951246085470157839150381408594164815375176
337308317728885475877200668530331105345740390372140408155005093217312418317 145749587665812906633495484342074659810202235084255179144121467192663450486
495712393338824534380755371476904463119793010951972493704408096728496862524 37897265973430015546484424804098379175871173358986288367357089464683387034
280815961110574502743679388959610702792577765022367836020678317340920268834 3948283408164767930987203178507116129012212515320573795003187723645262049
506475608057543368496407840184122965468958769014241153506676499180583681096 81293612627503851237832482499479697927679828639670513011248189508701733709
348522278663135640462599541978842311602360779716484976067257117124142373686 80076429530324311716783851954447754615677836455110322477816925693033478860
458780129357426508395738264330522373703225676310780900620378626287024427770 24902841898303803876104489422403532042848226412097643987414372478571588771
396334387667463838806880454472616486440385243287525142685236022198723018583 53367128306008016848719757424782192514933998320951200472842869864521141224
492863804186851882458476586814648663023113478953358228064409349051660975141 217204379744089710236625051983848669666336137732371882680934496949466857055
324347681888350738364172543742290387790981479132742526215111089823656379615 249532899484033155607450767154949295562092282965654995290994318631037147625
357533916021227954843377891788591395485251884521608165968379718397929495910 85412561348713192719704697528888188969416804285972871703831866464612077985
428162993604087043015507932060558058667900695763034268164182051423360550088 182281590760832129820587559191303012603386775130366566176023006138551341441
269738137796580747333621508651479731320873511501381483842685703074304580241 101436807567564182938404314714046948638582718380757034781780154115069990109
288808326058888259766045557019576926420419007448989733644589019506097432556 227029622250952843155508360188238106679199806887983303978797115722687707799
304897271879670051002500071380261684022057512994901408822698933800155021539 85116228255966653857247435642533264893426137805281863124618028077125061299
322575629781802614461769900924572998264156241395581389319048457847911750842 110247707882240729080034869590207320048651134699724893644306017311507739643
333814732541666123888474761593282762086790804936570262898362732147860072047 220518535503136331700916562913425547629968497312740516545060730110006667330
471236737645603958653588758497320398810058664204974976246855713181380432910 106568160235959121165624558103794789047069474488391012523044602521509277501
360846208693313746957785030724148712326530051512447256004954959758269275962 216288839612731594764019530697257849151333664237390642026301102716713073831
396618370408873871032745170303854625520972563390390814438183114517704334808 239849634187085827768306435495779315827510204976254414348383758479371591843
296838890843193174267368348208102995557873020412132801638933188373708267715 216734772755222480178090282860743961586737075577005949295648053128688294999
400016026709995267269502468788238492833296449158090692804783626321423108783 214634251621621976480368267950013712478050160142479101114486765128720222977
371550124641071479750660944127861479335849500751343734692558814856842460497 197582544129078648637263647397200871374969298736561507852230015599526299450
427363018078524021356502351985487275385104291569997863436971670400139697512 152400793641406335123624584185630182728169517557710623763690269258984691591
305906242048401115768349393823398630100610683302582703989686223055789275768 64985797679848068392039361227325208435164832559341101676218101870585710183
286822884119013347189891922718661233919802921944486743199115685451735639628 213072639638338284661041440076106730731752781232861215339704965859259651693
391930573378003290497550633113115618008252146239119435089776965302576047699 14969371696294688201424719666102429678762754655170011873100694690815463011
379654888100866711272326763080385610950710731733512445071635823759512822019 240030823220723583668349880345192536339505945556249111260954917914810792852
478637049398418831867846634507713535391557851590821779709341939496364822472 106770458013525356094819154102550440832563699253339183709533304820655556639
399151930663935054027276180494779346925543942455277277597437183208083311274 84504545823163881812921661420375296874937273724791289867071557400455492332
274707938082893015622179903264073699576409387190970659783318890776116964200 138745015936611772210726863992340157498810034304454690488200285152718868527
445640981622834072930065472452231262941548121700641794566590995661151291436 131441518597409767162342533602033153680331051664552685988959804315085060857
297001512893636583837905315494314747929334385911533796498793134409692021299 157884200594738299941836764309712664212654688654505007285713312337337333053
423683965371224603181239602433303693609728249134780498006456274694309642014 56005758459430755568373024870104037133667182245873230578240349186056119160
509363356264710434710091299655115814785501276317397475652054000478214131234 147566134286779872523872307907248369665448236075231082530991206669138282207
378943088658125836456978435523438842350375844786681884962987858082433545129 190203014151235205945335052966092722149721846982307417723340847198976493068
